UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
17392;46;1;2021;6;10;3;1;2;1; ; ;2;612
17450;7;1;2021;1;10;2;1;2;1; ; ;2;394
17450;12;1;2021;1;10;2;1;1;1; ; ;1;346
17450;25;1;2021;1;10;2;2;4;1; ; ;4;819
17450;28;1;2021;1;10;2;2;2;1; ; ;2;788
17450;36;1;2021;1;10;2;1;1;1; ; ;1;280
17450;51;1;2021;1;10;2;1;1;1; ; ;1;461
17450;53;1;2021;1;10;2;1;1;1; ; ;1;441
17450;55;1;2021;1;10;2;1;1;1; ; ;1;327
17450;73;1;2021;1;10;2;1;1;1; ; ;1;327
17489;1;1;2021;1;10;2;1;1;1; ; ;1;300
17489;7;1;2021;1;10;2;1;1;1; ; ;1;352
17489;13;1;2021;1;10;2;2;3;1; ; ;3;601
17489;18;1;2021;1;10;2;1;2;1; ; ;2;301
17489;19;1;2021;1;10;2;1;1;1; ; ;1;300
17489;21;1;2021;1;10;2;1;1;1; ; ;1;301
17489;28;1;2021;1;10;2;1;1;1; ; ;1;312
17489;38;1;2021;1;10;2;1;1;1; ; ;1;341
17489;40;1;2021;1;10;2;1;2;1; ; ;2;352
17489;41;1;2021;1;10;2;1;1;1; ; ;1;376
17566;14;1;2021;1;10;2;1;2;1; ; ;2;690
17566;16;1;2021;1;10;2;2;2;1; ; ;2;1081
17566;17;1;2021;1;10;2;3;4;1; ; ;4;1919
17566;22;1;2021;1;10;2;1;2;1; ; ;2;541
17566;31;1;2021;1;10;2;1;2;1; ; ;2;640
17566;33;1;2021;1;10;2;1;1;1; ; ;1;616
17566;44;1;2021;1;10;2;2;1;1; ; ;1;1229
17566;51;1;2021;1;10;2;1;1;1; ; ;1;490
17702;5;1;2021;6;10;3;1;2;1; ; ;2;431
17702;8;1;2021;6;10;3;3;1;1; ; ;1;1416
17702;19;1;2021;6;10;3;1;1;1; ; ;1;396
17702;34;1;2021;6;10;3;1;2;1; ; ;2;431
17702;37;1;2021;6;10;3;1;2;1; ; ;2;431
17702;45;1;2021;6;10;3;1;2;1; ; ;2;498
17702;54;1;2021;6;10;3;1;2;1; ; ;2;328
17702;57;1;2021;6;10;3;1;2;1; ; ;2;485
17733;3;1;2021;1;10;2;1;1;1; ; ;1;373
17733;9;1;2021;1;10;2;1;1;1; ; ;1;373
17733;11;1;2021;1;10;2;1;2;1; ; ;2;339
17733;17;1;2021;1;10;2;1;1;1; ; ;1;227
17733;19;1;2021;1;10;2;1;2;1; ; ;2;373
17733;22;1;2021;1;10;2;1;1;1; ; ;1;345
17733;32;1;2021;1;10;2;1;2;1; ; ;2;357
17733;38;1;2021;1;10;2;1;2;1; ; ;2;319
17845;1;1;2021;6;10;3;1;2;1; ; ;2;301
17845;11;1;2021;6;10;3;1;2;1; ; ;2;301
17845;12;1;2021;6;10;3;2;5;1; ; ;5;662
17845;14;1;2021;6;10;3;1;2;1; ; ;2;301
17845;17;1;2021;6;10;3;1;1;1; ; ;1;202
17845;18;1;2021;6;10;3;1;2;1; ; ;2;297
17845;24;1;2021;6;10;3;1;1;1; ; ;1;405
17845;25;1;2021;6;10;3;1;2;1; ; ;2;306
17845;26;1;2021;6;10;3;1;2;1; ; ;2;301
17845;31;1;2021;6;10;3;1;2;1; ; ;2;313
17885;14;1;2021;6;10;3;3;6;1; ; ;6;1942
17885;16;1;2021;6;10;3;2;1;1; ; ;1;960
17885;24;1;2021;6;10;3;2;3;1; ; ;3;1176
17885;25;1;2021;6;10;3;1;1;1; ; ;1;588
17885;38;1;2021;6;10;3;1;2;1; ; ;2;439
17885;39;1;2021;6;10;3;1;1;1; ; ;1;522
17885;43;1;2021;6;10;3;1;2;1; ; ;2;397
17984;1;1;2021;6;10;3;1;2;1; ; ;2;209
17984;2;1;2021;6;10;3;1;2;1; ; ;2;205
17984;4;1;2021;6;10;3;1;2;1; ; ;2;205
17984;5;1;2021;6;10;3;1;2;1; ; ;2;211
17984;6;1;2021;6;10;3;1;1;1; ; ;1;215
17984;7;1;2021;6;10;3;1;1;1; ; ;1;209
17984;8;1;2021;6;10;3;1;2;1; ; ;2;220
17984;9;1;2021;6;10;3;1;2;1; ; ;2;205
17984;11;1;2021;6;10;3;1;2;1; ; ;2;217
18056;3;1;2021;1;10;2;2;2;1; ; ;2;1321
18056;16;1;2021;1;10;2;1;1;1; ; ;1;727
18056;20;1;2021;1;10;2;3;2;1; ; ;2;1982
18056;21;1;2021;1;10;2;1;2;1; ; ;2;645
18056;30;1;2021;1;10;2;1;2;1; ; ;2;661
