UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
6070;10;1;2021;6;3;3;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;37;4;1; ;4;37;1;4;3;1;2;3;209
6070;17;1;2021;6;3;3;2;21;20;2;16;4;4;3;8;19;6;6;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;249
6070;19;1;2021;6;3;3;1;1;18;1; ; ;4;1;1;19;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;438
6165;11;1;2021;1;3;2;1;17;20;1; ; ;1;1;2;20;2;2;3;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1023
6165;32;1;2021;1;3;2;1;47;22;1; ; ;4;2;2;23;0;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;728
6165;40;1;2021;1;3;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2213
6165;43;1;2021;1;3;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;20;6; ; ; ; ; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;728
6165;60;1;2021;1;3;2;1;40;20;1; ; ;4;1;6;21;1;1;1;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;728
6186;8;1;2021;6;3;3;1;36;18;1; ; ;4;2;5;19;0;5;1;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;516
6186;13;1;2021;6;3;3;2;2;18;1; ; ;4;3;1;18;1;1;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;502
6186;16;1;2021;6;3;3;2;33;18;1; ; ;4;1;1;26;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;379
6186;18;1;2021;6;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;20;1;1; ;3;19;2;3;1;1;8;3;986
6186;23;1;2021;6;3;3;2;31;18;1; ; ;4;1;3;19;2;3;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;493
6186;25;1;2021;6;3;3;2;26;27;1; ; ;4;2;4;27;2;4;3;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1136
6186;26;1;2021;6;3;3;2;11;21;1; ; ;4;2;2;21;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1056
6186;35;1;2021;6;3;3;1;35;35;1; ; ;4;1;10;24;2;10;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;558
6285;6;1;2021;6;3;3;1;52;20;1; ; ;4;2;13;21;1;13;1;2;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;427
6285;11;1;2021;6;3;3;1;44;23;1; ; ;4;3;6;24;0;6;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;354
6285;16;1;2021;6;3;3;2;20;15;1; ; ;4;1;3;15;3;3;1;3;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;465
6285;22;1;2021;6;3;3;1;46;20;1; ; ;1;1;12;20;1;12;3;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;707
6285;26;1;2021;6;3;3;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;4;30;4;21;1;1;3;1;8;8;1066
6285;45;1;2021;6;3;3;1;60;15;1; ; ;4;1;6;16;1;6;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;707
6285;51;1;2021;6;3;3;1;61;18;1; ; ;4;1;12;19;0;12;1;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;577
6285;56;1;2021;6;3;3;1;11;27;1; ; ;4;1;3;20;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;465
6401;5;1;2021;1;3;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;10;54;4;1; ;1;27;0;0;3;3;8;8;1195
6401;9;1;2021;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;4;1; ;3;19;0;0;2;1;3;3;1084
6401;13;1;2021;1;3;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;27;1;18;6; ;1;27;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3087
6401;14;1;2021;1;3;2;2;1;17;1; ; ;4;3;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2947
6401;38;1;2021;1;3;2;2;12;18;1; ; ;4;3;1;23;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3188
6535;6;1;2021;1;3;2;1;25;33;1; ; ;4;1;2;34;2;2;3;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;500
6535;9;1;2021;1;3;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;1;1; ;2;19;2;2;3;1;8;8;755
6535;11;1;2021;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;20;4;1; ;12;20;0;12;3;3;3;3;924
6535;12;1;2021;1;3;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;20;4;1; ;1;29;1;0;3;3;8;8;683
6535;20;2;2021;1;3;2;2;2;21;1; ; ;4;1;1;22;1;1;3;3;2;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;377
6535;23;1;2021;1;3;2;1;34;28;1; ; ;4;1;5;30;1;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;265
6535;40;1;2021;1;3;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;4;1; ;4;21;1;4;3;3;8;2;321
6535;42;1;2021;1;3;2;2;4;18;1; ; ;1;1;1;20;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;377
6535;47;1;2021;1;3;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;28;1;25;6; ;3;30;1;3;3;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;720
6572;2;1;2021;6;3;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3;15;1;18;1;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1368
6572;4;1;2021;6;3;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;3;16;1;19;6; ;1;34;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;417
6572;6;1;2021;6;3;3;2;12;22;2;18;4;4;1;1;37;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;356
6572;10;1;2021;6;3;3;2;16;19;1; ; ;4;3;2;20;2;2;3;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;417
6572;22;1;2021;6;3;3;1;25;22;1; ; ;4;1;3;24;3;3;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;389
6572;26;1;2021;6;3;3;2;0;23;2;18;4;4;2;0; ; ; ; ; ;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;396
6572;30;1;2021;6;3;3;1;5;28;2;17;4;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;834
6572;38;1;2021;6;3;3;1;45;22;1; ; ;4;3;8;20;0;7;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;270
6572;39;1;2021;6;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;10;20;3;10;1;1;3;3;269
6572;44;1;2021;6;3;3;1;11;18;1; ; ;4;3;0; ; ; ; ; ;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;401
6662;1;1;2021;6;3;3;1;30;19;1; ; ;4;3;3;20;2;3;3;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;636
6662;10;1;2021;6;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;19;4;1; ;8;20;0;8;1;1;3;3;422
6662;11;1;2021;6;3;3;1;43;27;1; ; ;4;1;5;27;0;5;1;1;8;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;511
6662;26;1;2021;6;3;3;2;12;21;1; ; ;4;1;2;24;2;2;3;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;651
6662;27;1;2021;6;3;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;16;1;16;6; ;2;17;1;2;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2066
6662;28;1;2021;6;3;3;2;1;40;1; ; ;4;2;1;21;1;0;3;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1283
6662;37;1;2021;6;3;3;2;20;25;2;15;5;4;3;6;17;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;608
6705;5;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;24;1;24;6; ;0; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;269
6705;9;1;2021;1;4;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;25;4;1; ;8;14;2;8;3;1;1;3;269
6705;30;1;2021;1;4;2;2;8;17;1; ; ;5;1;2;18;2;2;1;1;1;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;319
6705;32;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;16;1;16;1;1;0; ; ; ; ; ;2;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;996
6705;41;1;2021;1;4;2;1;10;25;1; ; ;4;1;2;26;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;307
6705;47;1;2021;1;4;2;1;15;21;1; ; ;4;1;2;23;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;307
6705;66;1;2021;1;4;2;2;10;41;2;18;4;4;1;4;20;0;0;3;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;326
6705;70;1;2021;1;4;2;2;6;26;2;17;4;4;1;4;13;4;2;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;319
6705;72;1;2021;1;4;2;1;11;26;1; ; ;4;1;2;28;2;2;3;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;307
6705;75;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;16;1;17;6; ;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;664
6817;13;1;2021;1;4;2;1;14;23;1; ; ;4;2;2;19;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;659
6817;17;1;2021;1;4;2;1;23;18;1; ; ;4;1;4;19;4;4;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;631
6817;25;1;2021;1;4;2;1;45;30;1; ; ;1;1;4;31;1;3;1;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;562
6817;27;1;2021;1;4;2;1;45;16;1; ; ;4;1;6;17;2;6;1;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;494
6817;28;1;2021;1;4;2;1;35;23;1; ; ;4;1;4;25;3;4;3;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1755
6817;38;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;26;1;20;6; ;1;31;1;1;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;802
6817;54;1;2021;1;4;2;2;15;23;1; ; ;4;3;2;26;2;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;563
6824;4;1;2021;1;4;2;1;26;20;1; ; ;4;1;3;24;2;3;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1895
6824;19;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;18;1;18;6; ;7;21;2;7;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;978
6824;21;1;2021;1;4;2;1;1;27;1; ; ;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;579
6824;27;1;2021;1;4;2;1;12;25;1; ; ;4;1;3;21;3;3;3;3;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;557
6824;31;1;2021;1;4;2;1;32;24;1; ; ;4;2;1;25;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;925
6824;44;1;2021;1;4;2;2;12;18;1; ; ;4;1;1;22;1;1;3;1;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;652
6824;46;1;2021;1;4;2;1;15;19;1; ; ;4;1;3;20;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;557
6824;48;1;2021;1;4;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3;14;1;14;1;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2790
6920;4;1;2021;1;4;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;24;4;1; ;1;27;1;1;1;3;3;3;1319
6920;30;1;2021;1;4;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;18;4;1; ;1;19;1;1;3;3;3;3;737
6920;37;1;2021;1;4;2;1;6;28;1; ; ;4;1;2;30;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;589
6920;48;1;2021;1;4;2;1;5;25;1; ; ;4;1;1;28;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;612
6920;60;1;2021;1;4;2;2;15;19;1; ; ;1;3;7;19;7;7;3;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;689
6920;63;1;2021;1;4;2;2;0;21;4;15;4;4;3;1;18;1;0;3;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2212
6920;87;1;2021;1;4;2;1;11;27;1; ; ;4;2;1;28;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;589
6920;90;1;2021;1;4;2;1;25;22;1; ; ;4;1;3;23;1;3;1;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;668
6982;1;1;2021;6;4;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;25;1;1; ;4;26;0;4;1;1;1;3;475
6982;9;1;2021;6;4;3;2;14;24;1; ; ;4;3;1;24;1;1;3;3;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;517
6982;14;1;2021;6;4;3;1;23;23;1; ; ;4;1;2;24;2;2;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;566
6982;15;1;2021;6;4;3;2;29;17;1; ; ;4;3;8;18;6;8;1;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;566
6982;20;1;2021;6;4;3;2;20;20;1; ; ;4;3;2;23;2;2;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;517
6982;30;1;2021;6;4;3;2;17;24;1; ; ;4;2;3;18;2;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;566
6982;35;1;2021;6;4;3;1;20;20;2;17;4;4;1;4;18;2;2;1;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
6982;37;1;2021;6;4;3;1;48;15;1; ; ;4;3;6;16;1;6;3;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;390
6982;42;1;2021;6;4;3;1;10;22;1; ; ;4;2;1;34;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;517
7051;1;1;2021;6;4;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;15;1;15;6; ;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;975
7051;2;1;2021;6;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;15;4;1; ;3;18;2;3;3;3;3;3;1000
7051;19;1;2021;6;4;3;2;16;18;1; ; ;4;1;2;19;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;433
7051;22;1;2021;6;4;3;1;40;29;1; ; ;4;1;4;20;0;4;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;398
7051;27;1;2021;6;4;3;1;4;26;1; ; ;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;508
7051;30;1;2021;6;4;3;1;8;46;2;20;4;4;3;1;23;1;0;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;364
7051;31;1;2021;6;4;3;2;23;15;1; ; ;4;1;4;23;4;4;1;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;433
7051;46;1;2021;6;4;3;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;16;1;17;1;1;0; ; ; ; ; ;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;965
7051;47;1;2021;6;4;3;1;40;18;1; ; ;4;1;7;19;1;7;1;3;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;992
7051;53;1;2021;6;4;3;1;49;19;1; ; ;4;1;3;21;0;2;3;2;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;329
7191;2;1;2021;6;4;3;1;23;25;1; ; ;4;1;1;33;1;1;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;656
7191;12;1;2021;6;4;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;18;4;1; ;5;19;4;1;3;1;8;8;502
7191;15;1;2021;6;4;3;2;13;22;1; ; ;1;3;2;16;1;1;1;3;2;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;434
7191;17;1;2021;6;4;3;1;26;27;2;20;1;4;2;5;17;2;2;3;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;365
7191;28;1;2021;6;4;3;1;43;16;1; ; ;4;3;11;17;7;11;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;984
7191;29;1;2021;6;4;3;2;14;17;1; ; ;4;3;3;16;2;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;509
7191;30;1;2021;6;4;3;2;4;16;1; ; ;4;3;1;17;1;1;3;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;484
7191;31;1;2021;6;4;3;2;3;23;2;16;4;4;1;2;19;2;0;3;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;489
7191;33;1;2021;6;4;3;2;12;31;2;19;1;4;3;6;19;3;3;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;502
7191;38;1;2021;6;4;3;1;30;15;1; ; ;4;3;11;15;5;11;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1003
7197;16;1;2021;1;4;2;1;44;15;1; ; ;4;1;10;18;2;10;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;796
7197;21;1;2021;1;4;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;14;4;1; ;15;14;2;15;1;1;1;1;361
7197;27;1;2021;1;4;2;2;10;45;2;16;4;4;1;3;21;0;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;376
7197;28;1;2021;1;4;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;16;4;1; ;0; ; ; ; ; ;8;8;361
7197;30;1;2021;1;4;2;1;38;21;1; ; ;4;1;4;22;0;4;1;2;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;398
7197;50;1;2021;1;4;2;1;28;15;1; ; ;4;1;3;24;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1015
7197;57;1;2021;1;4;2;1;9;28;1; ; ;1;1;2;28;2;2;1;1;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;453
7297;3;1;2021;6;4;3;1;20;38;2;24;1;4;1;2;24;0;0;3;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;351
