UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
222;36;1;2021;1;0;1;1;11;28;1; ; ;4;1;2;29;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;464
222;38;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;3;17;1;17;6; ;1;22;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;482
222;41;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;24;4;2;32;6;17;4;3;3;3;3;3;520
222;43;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;27;4;1; ;2;29;1;2;3;3;3;3;463
274;1;1;2021;1;0;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;22;4;1; ;1;23;1;1;3;1;3;3;1270
274;8;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;3;16;1;17;1;1;0; ; ; ; ; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3622
274;23;1;2021;1;0;1;1;0;26;1; ; ;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;751
274;25;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;25;4;2;43;2;27;2;0;3;3;3;3;2460
274;28;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;21;4;1; ;3;17;3;1;3;3;3;3;2254
327;6;1;2021;1;0;1;2;7;26;1; ; ;1;2;3;26;3;3;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;673
327;13;1;2021;1;0;1;1;33;26;1; ; ;4;2;7;17;0;5;3;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;505
